company,report_type,rank,term,count
Amazon,Generated,1,aws,10
Amazon,Generated,2,energy,9
Amazon,Generated,3,datanxt,8
Amazon,Generated,4,audit,8
Amazon,Generated,5,relevant,7
Amazon,Generated,6,executive,6
Amazon,Generated,7,revenue,6
Amazon,Generated,8,usd,6
Amazon,Generated,9,billion,6
Amazon,Generated,10,risk,5
Amazon,Generated,11,answer,5
Amazon,Generated,12,efficiency,5
Amazon,Generated,13,logistics,5
Amazon,Generated,14,delivery,5
Amazon,Generated,15,board,5
Amazon,Generated,16,local,4
Amazon,Generated,17,proxy,4
Amazon,Generated,18,documents,4
Amazon,Generated,19,based,4
Amazon,Generated,20,centers,4
Amazon,Generated,21,water,4
Amazon,Generated,22,workforce,4
Amazon,Generated,23,cloud,4
Amazon,Generated,24,exposure,4
Amazon,Generated,25,risks,4
Amazon,Actual,1,products,215
Amazon,Actual,2,energy,210
Amazon,Actual,3,carbon,174
Amazon,Actual,4,water,156
Amazon,Actual,5,employees,146
Amazon,Actual,6,waste,145
Amazon,Actual,7,progress,144
Amazon,Actual,8,supply,138
Amazon,Actual,9,packaging,129
Amazon,Actual,10,suppliers,127
Amazon,Actual,11,chain,125
Amazon,Actual,12,across,124
Amazon,Actual,13,private,120
Amazon,Actual,14,responsible,118
Amazon,Actual,15,emissions,115
Amazon,Actual,16,safety,111
Amazon,Actual,17,brands,108
Amazon,Actual,18,customers,107
Amazon,Actual,19,use,107
Amazon,Actual,20,human,106
Amazon,Actual,21,rights,106
Amazon,Actual,22,support,106
Amazon,Actual,23,program,105
Amazon,Actual,24,sustainable,99
Amazon,Actual,25,including,99
Microsoft,Generated,1,water,10
Microsoft,Generated,2,digital,9
Microsoft,Generated,3,datanxt,8
Microsoft,Generated,4,cloud,8
Microsoft,Generated,5,emissions,7
Microsoft,Generated,6,relevant,6
Microsoft,Generated,7,board,6
Microsoft,Generated,8,responsible,6
Microsoft,Generated,9,transparency,5
Microsoft,Generated,10,diversity,5
Microsoft,Generated,11,inclusion,5
Microsoft,Generated,12,accessibility,5
Microsoft,Generated,13,cybersecurity,5
Microsoft,Generated,14,safety,5
Microsoft,Generated,15,growth,5
Microsoft,Generated,16,microsoft's,5
Microsoft,Generated,17,waste,5
Microsoft,Generated,18,audit,4
Microsoft,Generated,19,local,4
Microsoft,Generated,20,documents,4
Microsoft,Generated,21,risk,4
Microsoft,Generated,22,answer,4
Microsoft,Generated,23,covering,4
Microsoft,Generated,24,scope,4
Microsoft,Generated,25,employee,4
Microsoft,Actual,1,water,383
Microsoft,Actual,2,carbon,312
Microsoft,Actual,3,waste,224
Microsoft,Actual,4,global,198
Microsoft,Actual,5,energy,194
Microsoft,Actual,6,across,133
Microsoft,Actual,7,emissions,126
Microsoft,Actual,8,climate,125
Microsoft,Actual,9,new,125
